icmT,accX,accY,accZ,accT,gyrX,gyrY,gyrZ,gyrT,magX,magY,magZ,magT
1260.000000,0.312012,-0.970215,0.235840,126.000000,-0.034332,-0.597000,0.185013,126.000000,-20.173645,-2.028427,-28.978516,126.000000
1270.000000,0.313965,-0.963379,0.248535,127.000000,0.022888,-0.108719,0.429153,127.000000,-20.173645,-2.028427,-29.278519,127.000000
1280.000000,0.319336,-0.958008,0.251465,128.000000,-0.156403,0.070572,-0.116348,128.000000,-18.673645,-2.028427,-29.278519,128.000000
1290.000000,0.304199,-0.980957,0.245117,129.000000,-0.095367,0.619888,0.123978,129.000000,-18.673645,-2.778427,-29.578522,129.000000
1300.000000,0.300293,-0.971191,0.251953,130.000000,0.083923,0.436783,0.062943,130.000000,-20.473648,-2.328430,-29.578522,130.000000
1310.000000,0.309082,-0.963867,0.249023,131.000000,0.450134,0.436783,0.612259,131.000000,-20.473648,-0.528427,-28.978516,131.000000
1320.000000,0.311035,-0.980957,0.241211,132.000000,0.389099,0.253677,0.429153,132.000000,-20.773636,-0.528427,-28.978516,132.000000
1330.000000,0.309082,-0.966797,0.241211,133.000000,0.267029,0.192642,0.490189,133.000000,-19.873642,-2.178421,-29.128525,133.000000
1340.000000,0.320312,-0.968750,0.255371,134.000000,0.572205,0.192642,0.185013,134.000000,-19.873642,-2.778427,-29.278519,134.000000
1350.000000,0.313965,-0.979980,0.250000,135.000000,0.572205,-0.047684,0.612259,135.000000,-20.023636,-2.778427,-29.278519,135.000000
1360.000000,0.301269,-0.967773,0.252930,136.000000,1.060486,0.192642,0.490189,136.000000,-19.273636,-1.728424,-29.128525,136.000000
1370.000000,0.306641,-0.965820,0.249023,137.000000,1.182556,-0.047684,0.490189,137.000000,-19.273636,-0.678421,-28.378525,137.000000
1380.000000,0.294922,-0.962890,0.250488,138.000000,0.816345,0.192642,0.185013,138.000000,-19.573639,-0.678421,-28.378525,138.000000
1390.000000,0.297852,-0.960449,0.260254,139.000000,0.572205,-0.230789,0.429153,139.000000,-18.673645,-2.478424,-29.128525,139.000000
